File,Date,Timepoint,Plot,Metadata_tz,Metadata_time_add,Instrument_tz,Notes
TG10-01229-2022-06-19T000000_thelma.data,2022-06-20,Pre-Treatment,Freshwater,EST,0,EDT,Kind of a mess; duplicate data removed; adjusted metadata times +10 min (per scanned data sheet there was a large gap)
TG10-01286-2022-06-19T000000_Louise.data,2022-06-21,Pre-Treatment,Freshwater,EST,0,EDT,"Missing data for F1, F2, F17 at end"
TG10-01286-2022-06-19T000000_Louise.data,2022-06-22,T0,Freshwater,EST,0,EST,Adjusted metadata times +3 min
TG10-01286-2022-06-19T000000_Louise.data,2022-06-22,T1,Freshwater,EST,0,EST,Adjusted metadata times +3 min
TG10-01286-2022-06-19T000000_Louise.data,2022-06-22,T2,Freshwater,EST,0,EST,Adjusted metadata times +3 min
TG10-01286-2022-06-19T000000_Louise.data,2022-06-22,T3,Freshwater,EST,0,EST,Adjusted metadata times +3 min
TG10-01286-2022-06-19T000000_Louise.data,2022-06-23,Post-Treatment,Freshwater,EST,0,EST,Adjusted metadata times +3 min
TG10-01286-2022-06-19T000000_Louise.data,2022-06-24,Post-Treatment,Freshwater,EST,0,EST,F12 data missing
TG10-01229-2022-06-19T000000_thelma.data,2022-06-21,Pre-Treatment,Control,EST,0,EST,Adjusted metadata times +2 min (and C4 more)
TG10-01229-2022-06-19T000000_thelma.data,2022-06-22,T0,Control,EST,0,EST,Adjusted metadata times +2 min; no C6 data
TG10-01229-2022-06-19T000000_thelma.data,2022-06-22,T1,Control,EST,0,EST,C13 (#12) had wrong time and erasure mark; no C9 data; metadata times +2
TG10-01229-2022-06-19T000000_thelma.data,2022-06-22,T2,Control,EST,0,EST,Adjusted metadata times +2 min
TG10-01229-2022-06-19T000000_thelma.data,2022-06-22,T3,Control,EST,0,EST,Adjusted metadata times +2 min
TG10-01229-2022-06-19T000000_thelma.data,2022-06-23,Post-Treatment,Control,EST,0,EST,Adjusted metadata times +2 min
TG10-01229-2022-06-19T000000_thelma.data,2022-06-24,Post-Treatment,Control,EST,0,EST,Adjusted metadata times +2 min
TG10-01028-2022-06-19T000000_Nick.data,2022-06-20,Pre-Treatment,Seawater,EST,0,EST,Poor quality; S7 time changed from PST to EST
TG10-01028-2022-06-19T000000_Nick.data,2022-06-21,Pre-Treatment,Seawater,EST,0,EST,Adjusted metadata times +1 min
TG10-01028-2022-06-19T000000_Nick.data,2022-06-22,T0,Seawater,EST,0,EST,Adjusted metadata times +1 min; S12 start corrected 1 hour
TG10-01028-2022-06-19T000000_Nick.data,2022-06-22,T1,Seawater,EST,0,EST,
TG10-01028-2022-06-19T000000_Nick.data,2022-06-22,T2,Seawater,EST,0,EST,Adjusted metadata times +1 min; S12 time corrected
TG10-01028-2022-06-19T000000_Nick.data,2022-06-22,T3,Seawater,EST,0,EST,
TG10-01028-2022-06-19T000000_Nick.data,2022-06-23,Post-Treatment,Seawater,EST,0,EST,Adjusted metadata times +1 min
TG10-01028-2022-06-19T000000_Nick.data,2022-06-24,Post-Treatment,Seawater,EST,0,EST,Adjusted metadata times +1 min
TG10-01286-2023-06-04T050000_Louise.data,2023-06-04,T0,Control,EDT,0,EDT,Adjusted metadata times +4 min
TG10-01286-2023-06-04T050000_Louise.data,2023-06-05,T1,Control,EDT,0,EDT,Adjusted metadata times +3-4 min
TG10-01286-2023-06-04T050000_Louise.data,2023-06-06,T2,Control,EDT,0,EDT,Adjusted metadata times +4-5 min
TG10-01286-2023-06-04T050000_Louise.data,2023-06-07,T3A,Control,EDT,0,EDT,Adjusted metadata times +4 min
TG10-01286-2023-06-04T050000_Louise.data,2023-06-07,T3B,Control,EDT,0,EDT,Adjusted metadata times +4 min
TG10-01286-2023-06-04T050000_Louise.data,2023-06-08,T4,Control,EDT,0,EDT,Adjusted metadata times +4 min
TG10-01286-2023-06-04T050000_Louise.data,2023-06-09,T5,Control,EDT,0,EDT,Adjusted metadata times +4 min
TG10-01448-2023-06-04T050000_Mike.data,2023-06-04,T0,Freshwater,EDT,0,EDT,Adjusted metadata times +2 min
TG10-01448-2023-06-04T050000_Mike.data,2023-06-05,T1,Freshwater,EDT,0,EDT,Adjusted metadata times +2 min
TG10-01448-2023-06-04T050000_Mike.data,2023-06-06,T2,Freshwater,EDT,0,EDT,Adjusted metadata times +2 min
