[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	11/21/2025 3:29:30 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	DI	Untitled			1.346				mg/L	0	11/20/2025 12:33:39 PM	
Unknown	IC	DI	Untitled			1.372				mg/L	0	11/20/2025 12:51:57 PM	
Unknown	IC	DI	Untitled			1.375				mg/L	0	11/20/2025 1:03:53 PM	
Unknown	IC	Chk_Std_80mgL	Untitled			65.70				mg/L	1	11/20/2025 1:31:21 PM	
Unknown	IC	Chk_Std_200mgL	Untitled			159.0				mg/L	2	11/20/2025 2:00:37 PM	
Unknown	IC	DI	Untitled			1.477				mg/L	0	11/20/2025 2:21:18 PM	
Unknown	IC	DI	Untitled			1.353				mg/L	0	11/20/2025 3:47:31 PM	
Unknown	IC	DI	Untitled			1.355				mg/L	0	11/20/2025 3:59:16 PM	
Standard	IC	CalCurve_IC	Untitled			200.0				mg/L	3, 4, 5, 6, 7, 8, 9, 10	11/20/2025 7:03:17 PM	
Unknown	IC	DI	Untitled			3.664				mg/L	0	11/20/2025 7:21:55 PM	
Unknown	IC	DI_Bubbled	Untitled			4.088				mg/L	11	11/20/2025 7:40:36 PM	
Unknown	IC	Chk_Std_crm221	Untitled			25.72				mg/L	12	11/20/2025 8:01:55 PM	
Unknown	IC	Chk_Std_40mgL	Untitled			38.57				mg/L	13	11/20/2025 8:29:19 PM	
Unknown	IC	DI	Untitled			4.098				mg/L	0	11/20/2025 8:45:30 PM	
Unknown	IC	TMP_AquiferWell_1330	Untitled			31.41				mg/L	14	11/20/2025 9:06:51 PM	
Unknown	IC	TMP_AquiferWell_1330_dup	Untitled			30.77				mg/L	15	11/20/2025 9:29:55 PM	
Unknown	IC	TMP_AquiferWell_1500	Untitled			34.12				mg/L	16	11/20/2025 9:52:54 PM	
Unknown	IC	TMP_AquiferWell_1500_dup	Untitled			34.53				mg/L	17	11/20/2025 10:16:09 PM	
Unknown	IC	DI	Untitled			4.181				mg/L	0	11/20/2025 10:36:39 PM	
Unknown	IC	FATE_Dock_20251002_A	Untitled			27.08				mg/L	18	11/20/2025 11:01:48 PM	
Unknown	IC	FATE_Dock_20251002_B	Untitled			28.20				mg/L	19	11/20/2025 11:29:28 PM	
Unknown	IC	FATE_Flume_20251002_A	Untitled			30.89				mg/L	20	11/20/2025 11:52:35 PM	
Unknown	IC	FATE_Flume_20251002_B	Untitled			30.65				mg/L	21	11/21/2025 12:15:49 AM	
Unknown	IC	FATE_Dock_20251103_A	Untitled			28.04				mg/L	22	11/21/2025 12:39:05 AM	
Unknown	IC	FATE_Dock_20251103_B	Untitled			18.48				mg/L	23	11/21/2025 1:00:02 AM	
Unknown	IC	FATE_Flume_20251103_A	Untitled			34.16				mg/L	24	11/21/2025 1:23:06 AM	
Unknown	IC	FATE_Flume_20251103_B	Untitled			33.64				mg/L	25	11/21/2025 1:46:23 AM	
Unknown	IC	FATE_Dock_20251110_A	Untitled			18.62				mg/L	26	11/21/2025 2:07:18 AM	
Unknown	IC	FATE_Dock_20251110_B	Untitled			18.28				mg/L	27	11/21/2025 2:22:28 AM	
Unknown	IC	FATE_Flume_20251110_A	Untitled			21.11				mg/L	28	11/21/2025 2:37:56 AM	
Unknown	IC	FATE_Flume_20251110_B	Untitled			30.40				mg/L	29	11/21/2025 3:05:48 AM	
Unknown	IC	DI	Untitled			4.120				mg/L	0	11/21/2025 3:25:15 AM	
Unknown	IC	Chk_Std_crm221	Untitled			32.60				mg/L	30	11/21/2025 3:51:17 AM	
Unknown	IC	Chk_Std_10mgL	Untitled			12.15				mg/L	31	11/21/2025 4:12:00 AM	
Unknown	IC	DI	Untitled			4.109				mg/L	0	11/21/2025 4:26:21 AM	
Unknown	IC	202511_SWH_UP_LysA_10cm	Untitled			24.28				mg/L	32	11/21/2025 4:47:39 AM	
Unknown	IC	202511_SWH_UP_LysA_20cm	Untitled			33.31				mg/L	33	11/21/2025 5:15:43 AM	
Unknown	IC	202511_SWH_UP_LysA_45cm	Untitled			37.27				mg/L	34	11/21/2025 5:43:35 AM	
Unknown	IC	202511_SWH_UP_LysB_20cm	Untitled			31.14				mg/L	35	11/21/2025 6:06:40 AM	
Unknown	IC	202511_SWH_UP_LysC_10cm	Untitled			6.159				mg/L	36	11/21/2025 6:29:43 AM	
Unknown	IC	202511_SWH_UP_LysC_20cm	Untitled			37.56				mg/L	37	11/21/2025 6:55:38 AM	
Unknown	IC	202511_SWH_UP_LysC_45cm	Untitled			33.35				mg/L	38	11/21/2025 7:22:46 AM	
Unknown	IC	202511_SWH_SWAMP_LysA_10cm	Untitled			24.92				mg/L	39	11/21/2025 7:50:40 AM	
Unknown	IC	202511_SWH_SWAMP_LysA_20cm	Untitled			29.27				mg/L	40	11/21/2025 8:18:08 AM	
Unknown	IC	202511_SWH_SWAMP_LysA_45cm	Untitled			27.91				mg/L	41	11/21/2025 8:45:38 AM	
Unknown	IC	DI	Untitled			4.206				mg/L	0	11/21/2025 9:05:09 AM	
Unknown	IC	Chk_Std_40mgL	Untitled			41.88				mg/L	42	11/21/2025 9:31:04 AM	
Unknown	IC	DI	Untitled			4.141				mg/L	0	11/21/2025 9:47:33 AM	
Unknown	IC	202511_SWH_SWAMP_LysB_10cm	Untitled			23.27				mg/L	43	11/21/2025 10:13:29 AM	
Unknown	IC	202511_SWH_SWAMP_LysB_20cm	Untitled			32.22				mg/L	44	11/21/2025 10:36:14 AM	
